,DATETIME,PRESSURE_T1,PRESSURE_T2,PRESSURE_T3,PRESSURE_T4,PRESSURE_T5,PRESSURE_T6,PRESSURE_T7,PRESSURE_J280,PRESSURE_J269,PRESSURE_J300,PRESSURE_J256,PRESSURE_J289,PRESSURE_J415,PRESSURE_J302,PRESSURE_J306,PRESSURE_J307,PRESSURE_J317,PRESSURE_J14,PRESSURE_J422,FLOW_PU1,FLOW_PU2,FLOW_PU3,FLOW_PU4,FLOW_PU5,FLOW_PU6,FLOW_PU7,FLOW_PU8,FLOW_PU9,FLOW_PU10,FLOW_PU11,FLOW_V2,STATUS_PU1,STATUS_PU2,STATUS_PU3,STATUS_PU4,STATUS_PU5,STATUS_PU6,STATUS_PU7,STATUS_PU8,STATUS_PU9,STATUS_PU10,STATUS_PU11,STATUS_V2,ATT_FLAG
14796,3699.0,0.9243,3.9695,5.0319,2.159,4.5,5.1496,2.67,2.9751,34.679,29.2498,76.0801,29.2101,87.6332,24.2986,110.7135,24.1852,70.7653,31.7378,30.8378,96.8238,96.8429,0.0,0.0,0.0,49.4661,0.0,13.5335,0.0,31.0391,0.0,73.4384,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
14797,3699.25,0.9563,4.0331,4.9777,2.3349,4.5,5.2382,2.889,2.9751,34.702,29.3084,76.0259,29.2687,87.7735,24.3393,110.7541,24.2261,70.9175,31.795,30.895,96.7809,96.7999,0.0,0.0,0.0,49.4235,0.0,13.5335,0.0,31.006,0.0,73.2456,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
14087,3521.75,1.4685,4.9838,4.6786,2.4056,4.5,5.5,4.7632,2.9748,34.32,30.2766,71.9828,30.2488,78.7902,23.4882,106.5079,23.3781,71.6132,32.6593,31.7593,97.4911,97.5103,0.0,0.0,0.0,0.0,40.7969,18.3806,0.0,30.5424,0.0,63.5637,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
14088,3522.0,1.4749,5.044,4.5802,2.3449,4.5,5.5,4.8378,2.975,34.5409,30.3987,70.3086,30.3703,78.1924,28.2067,110.2912,28.2067,57.5664,32.7955,31.8955,97.0807,97.0999,0.0,0.0,0.0,0.0,41.271,19.4085,0.0,0.0,0.0,65.8703,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
15919,3979.75,4.4513,4.5728,3.7812,2.0717,4.5,5.1357,2.6203,2.9908,25.6314,27.5285,69.7393,27.4868,83.3614,25.1129,105.1446,24.9927,68.1364,38.2787,28.909,113.2299,0.0,0.0,0.0,0.0,50.7676,0.0,21.6766,0.0,32.036,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
15920,3980.0,4.4201,4.4381,3.6707,2.0379,4.5,5.1884,2.667,2.9908,25.8544,27.4244,70.7813,27.3833,84.0764,24.4978,100.5142,24.378,67.7943,38.4217,28.802,112.8368,0.0,0.0,0.0,0.0,50.3554,0.0,25.353,0.0,31.9585,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
6958,1739.5,2.0096,5.0144,3.5937,4.3357,4.5,5.5,1.7086,2.9751,34.7182,29.3036,90.4613,29.3735,88.0662,28.2266,106.9129,28.2266,56.4433,32.215,31.315,96.7508,96.7698,0.0,35.5445,0.0,0.0,49.2993,22.9201,0.0,0.0,0.0,73.8894,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
6959,1739.75,2.0362,4.9854,3.7245,4.4585,4.5,5.3976,1.3321,2.9751,34.7267,29.2836,90.5345,29.3533,88.1474,28.2471,106.9334,28.2471,56.1231,32.1953,31.2953,96.735,96.754,0.0,35.491,0.0,0.0,49.2461,22.9201,0.0,0.0,0.0,74.2053,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
14840,3710.0,4.2017,0.3869,4.7475,2.108,4.5,4.9984,2.5633,2.9759,35.5921,25.4964,89.8333,25.5559,84.3862,30.269,110.3963,30.269,54.8052,28.6346,27.7346,95.1187,95.1373,0.0,33.6654,0.0,49.2528,0.0,21.5114,0.0,0.0,0.0,112.48,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
14841,3710.25,4.1866,0.4653,4.8682,2.1749,4.5,4.8849,2.0651,2.9757,35.3144,25.4689,89.8975,25.5282,84.4273,24.7272,104.9231,24.606,67.2643,28.5849,27.6849,95.6384,95.6572,0.0,33.6094,0.0,49.2167,0.0,21.5114,0.0,32.1733,0.0,109.7807,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
15125,3781.25,3.6616,5.311,4.0459,2.5331,4.5,5.4747,4.676,2.9757,35.3666,29.6482,89.8849,29.719,85.7276,29.301,104.7889,29.301,58.0242,32.6223,31.7223,95.5408,95.5595,0.0,36.0679,0.0,50.7005,0.0,25.7367,0.0,0.0,0.0,80.6963,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
15126,3781.5,3.6665,5.2949,4.1689,2.6063,4.5,5.3845,4.2373,2.9757,35.3677,29.6355,89.9578,29.7061,85.7775,29.305,104.7929,29.305,57.6768,32.6093,31.7093,95.5387,95.5574,0.0,36.0196,0.0,50.6689,0.0,25.7367,0.0,0.0,0.0,80.8269,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
15608,3902.0,3.0309,2.5579,4.2479,1.7722,4.5,5.5,3.07,2.9769,36.7705,22.5236,87.6028,22.5818,82.7896,24.8225,103.0228,24.7065,69.9888,40.0152,24.2702,92.9019,92.9198,0.0,33.209,0.0,48.5208,0.0,23.4336,0.0,31.4208,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
15609,3902.25,3.0905,2.341,4.356,1.7957,4.5,5.5,3.1286,2.977,36.8028,22.3303,87.6001,22.3879,82.7562,24.8782,103.0785,24.7621,70.0467,40.0666,24.0741,92.8409,92.8588,0.0,33.0906,0.0,48.4344,0.0,23.4336,0.0,31.4201,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
11542,2885.5,5.4953,5.5629,4.8522,3.0207,4.5,5.1223,3.2615,2.9802,40.651,28.6277,75.7009,28.5883,87.3075,35.9662,122.353,35.9662,60.1688,45.4634,29.998,85.4627,85.4785,0.0,0.0,0.0,0.0,49.2854,13.4711,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
11543,2885.75,5.6256,5.4321,4.795,3.1627,4.5,5.0623,3.0515,2.9803,40.7177,28.5041,75.6436,28.4648,87.3711,36.0815,122.4684,36.0815,59.9879,45.569,29.8737,85.3328,85.3486,0.0,0.0,0.0,0.0,49.1872,13.4711,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9240,2310.0,3.9195,5.178,4.4277,3.5278,4.5,5.3508,3.4873,2.9783,38.3824,28.1961,75.0977,28.1557,85.6443,28.7833,115.7259,28.6617,71.093,42.1306,29.5708,89.8386,89.8557,0.0,0.0,0.0,0.0,49.9237,12.5929,0.0,32.2372,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
9241,2310.25,4.0085,5.0455,4.3679,3.5709,4.5,5.4364,3.6616,2.9784,38.4296,28.0684,75.0379,28.0281,85.6425,28.8675,115.81,28.7459,71.2288,42.2057,29.4426,89.7483,89.7654,0.0,0.0,0.0,0.0,49.8591,12.5929,0.0,32.2227,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
14795,3698.75,0.9031,3.9115,5.1035,2.038,4.5,5.0816,2.5475,2.9749,34.4093,29.1142,74.8913,29.0735,86.1779,23.4303,107.7814,23.315,68.9552,31.599,30.699,97.3253,97.3445,0.0,0.0,0.0,50.1462,0.0,16.676,0.0,31.3162,0.0,71.9933,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
