,DATETIME,PRESSURE_T1,PRESSURE_T2,PRESSURE_T3,PRESSURE_T4,PRESSURE_T5,PRESSURE_T6,PRESSURE_T7,PRESSURE_J280,PRESSURE_J269,PRESSURE_J300,PRESSURE_J256,PRESSURE_J289,PRESSURE_J415,PRESSURE_J302,PRESSURE_J306,PRESSURE_J307,PRESSURE_J317,PRESSURE_J14,PRESSURE_J422,FLOW_PU1,FLOW_PU2,FLOW_PU3,FLOW_PU4,FLOW_PU5,FLOW_PU6,FLOW_PU7,FLOW_PU8,FLOW_PU9,FLOW_PU10,FLOW_PU11,FLOW_V2,STATUS_PU1,STATUS_PU2,STATUS_PU3,STATUS_PU4,STATUS_PU5,STATUS_PU6,STATUS_PU7,STATUS_PU8,STATUS_PU9,STATUS_PU10,STATUS_PU11,STATUS_V2,ATT_FLAG
12529,3132.25,1.7748,5.0686,3.622,4.3441,4.5,5.5,4.7928,2.9748,34.2869,29.289,92.2773,29.3525,87.5396,23.3767,105.1351,23.2662,71.2944,32.1604,31.2604,97.5527,97.572,0.0,34.4769,0.0,0.0,49.5631,19.8464,0.0,30.6052,0.0,69.1271,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12530,3132.5,1.7668,5.0291,3.766,4.4419,4.5,5.5,4.8502,2.9749,34.4213,29.2965,92.366,29.3598,87.6119,28.2293,109.9253,28.2293,57.0285,32.177,31.277,97.3031,97.3223,0.0,34.4286,0.0,0.0,49.5292,19.8464,0.0,0.0,0.0,71.0912,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1052,263.0,1.0135,2.0672,3.5223,4.4113,4.5,5.5,2.3467,2.9895,20.8801,26.1445,86.0816,26.2185,85.0594,20.175,99.5673,20.0642,67.9825,29.0259,28.1259,121.4924,0.0,0.0,36.2363,0.0,0.0,49.2216,22.3037,0.0,30.6384,0.0,66.1436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1053,263.25,0.9757,2.0546,3.6199,4.389,4.5,5.5,2.3679,2.974,33.4899,26.4319,86.2424,26.5061,85.1127,21.7753,101.1691,21.6621,68.3363,29.4099,28.5099,99.0281,99.0479,0.0,36.3072,0.0,0.0,49.3443,22.3037,0.0,31.0111,0.0,83.1468,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
17340,4335.0,4.0722,0.5513,5.0285,3.2124,4.5,5.5,3.3396,2.9899,22.385,25.0436,87.9979,25.1096,86.2431,21.8377,99.3076,21.73,71.1246,28.0254,27.1254,118.8977,0.0,0.0,34.4971,0.0,0.0,47.9934,24.0903,0.0,30.1876,0.0,90.734,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17341,4335.25,3.9472,0.5728,5.1316,3.3349,4.5,5.5,3.4615,2.9899,22.3233,25.058,88.0698,25.1239,86.3337,21.7663,99.236,21.6588,71.1992,28.0346,27.1346,119.0046,0.0,0.0,34.463,0.0,0.0,47.9516,24.0903,0.0,30.1426,0.0,90.0774,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
957,239.25,2.8531,3.3541,3.5935,3.4331,4.5,5.0542,1.9326,2.975,34.5458,27.7297,87.7049,27.8021,84.6322,22.6606,98.339,22.5425,66.789,30.7337,29.8337,97.0716,97.0907,0.0,36.215,0.0,0.0,50.26,25.6344,0.0,31.7208,0.0,85.9891,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
958,239.5,2.8152,3.3528,3.7033,3.4118,4.5,5.0865,1.9233,2.975,34.5282,27.7287,87.7759,27.8008,84.6158,22.6304,98.3087,22.5124,66.7913,30.7308,29.8308,97.1044,97.1235,0.0,36.1746,0.0,0.0,50.2677,25.6344,0.0,31.7115,0.0,85.7765,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
8119,2029.75,3.0457,2.9537,4.2136,4.1359,4.5,5.5,3.1807,2.9773,37.2306,22.9591,88.0529,23.0177,83.818,26.0596,107.5458,25.9462,72.5797,40.5565,24.7019,92.0312,92.0489,0.0,33.1999,0.0,0.0,48.1749,20.1483,0.0,31.0232,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8120,2030.0,3.1182,2.7377,4.3256,4.074,4.5,5.5,3.3487,2.9776,37.5939,22.8094,88.4646,22.8665,84.0873,26.7732,110.1949,26.6557,71.1903,40.9953,24.5444,91.3418,91.3592,0.0,32.8498,0.0,0.0,47.9456,17.8897,0.0,31.6378,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
